audio_id	transcript
10207165333468320061	"ဘုရှ်၏ ပြောရေးဆိုခွင့်ရှိသူဂျောဒန် ဂျွန်ဒရိုး က မြောက်ကိုရီးယားနိုင်ငံ၏ ကတိကဝတ်သည် ကိုရီးယားကျွန်းဆွယ်အား အတည်ပြုနိုင်သည့် နျူလက်နက်ကင်းစင်ရေး‌ဒေသဖြစ်စေရေး စွမ်းဆောင်မှုရည်မှန်းချက်ကို လျှောက်လှမ်းရာတွင် အဓိကကျသော လှေကားထစ်တစ်ခု"" ဖြစ်သည်ဟု သုံးနှုန်းပြောဆိုခဲ့သည်။"
10406743972683477081	ငါ့အတွက်တော့ ဒါက လုံးဝအဓိပ္ပါယ်မရှိဘူး လုံးဝကို မတရားဘူး
12011678642037122936	ခရိုင်အများစုကို သက်တောင့်သက်သာရှိ၍ ကြံ့ခိုင်စွာ တည်ဆောက်ထားသည့် ဂျပန်ကော်စတာဘတ်စ်ကားများဖြင့် ဝန်ဆောင်မှုပေးနေသည်
12202394788954760188	မြေထဲပင်လယ်ဒေသနှင့် ဇုန်ခြင်းဆင်တူသော မဂျောကန် ၏ချက်ပြုတ်နည်းသည် ပေါင်မုန့်၊ ဟင်းသီးဟင်းရွက်များနှင့် အသား အထူးသဖြင့် ဝက်သား တို့ပေါ်တွင် အခြေခံထားခြင်းဖြစ်ကာ သံလွင်ဆီကို သုံးစွဲပါသည်။
14755840805814218163	လွန်ခဲ့သောနှစ်ထောင်ပေါင်းများစွာက အရီစတာချက်စ် ဟုခေါ်သောအမျိုးသားတစ်ဦးသည် နေပတ်လည်တွင် ဆိုလာစနစ်သည် ရွေ့လျားလျက်ရှိသည်ဟု ပြောဆိုခဲ့သည်
15565044170778636507	ခရိုင်အများစုကို သက်တောင့်သက်သာရှိ၍ ကြံ့ခိုင်စွာ တည်ဆောက်ထားသည့် ဂျပန်ကော်စတာဘတ်စ်ကားများဖြင့် ဝန်ဆောင်မှုပေးနေသည်
16051659439686946231	ငါ့အတွက်တော့ ဒါက လုံးဝအဓိပ္ပါယ်မရှိဘူး လုံးဝကို မတရားဘူး
16273375266957931459	လွန်ခဲ့သောနှစ်ထောင်ပေါင်းများစွာက အရီစတာချက်စ် ဟုခေါ်သောအမျိုးသားတစ်ဦးသည် နေပတ်လည်တွင် ဆိုလာစနစ်သည် ရွေ့လျားလျက်ရှိသည်ဟု ပြောဆိုခဲ့သည်
1966097717794402409	ငါ့အတွက်တော့ ဒါက လုံးဝအဓိပ္ပါယ်မရှိဘူး လုံးဝကို မတရားဘူး
2736081486220456460	လွန်ခဲ့သောနှစ်ထောင်ပေါင်းများစွာက အရီစတာချက်စ် ဟုခေါ်သောအမျိုးသားတစ်ဦးသည် နေပတ်လည်တွင် ဆိုလာစနစ်သည် ရွေ့လျားလျက်ရှိသည်ဟု ပြောဆိုခဲ့သည်
3332794734215124213	"ဘုရှ်၏ ပြောရေးဆိုခွင့်ရှိသူဂျောဒန် ဂျွန်ဒရိုး က မြောက်ကိုရီးယားနိုင်ငံ၏ ကတိကဝတ်သည် ကိုရီးယားကျွန်းဆွယ်အား အတည်ပြုနိုင်သည့် နျူလက်နက်ကင်းစင်ရေး‌ဒေသဖြစ်စေရေး စွမ်းဆောင်မှုရည်မှန်းချက်ကို လျှောက်လှမ်းရာတွင် အဓိကကျသော လှေကားထစ်တစ်ခု"" ဖြစ်သည်ဟု သုံးနှုန်းပြောဆိုခဲ့သည်။"
6664351831731656725	ခရိုင်အများစုကို သက်တောင့်သက်သာရှိ၍ ကြံ့ခိုင်စွာ တည်ဆောက်ထားသည့် ဂျပန်ကော်စတာဘတ်စ်ကားများဖြင့် ဝန်ဆောင်မှုပေးနေသည်
